tidy_tweet,Sentiment
please don t expect me to always be good and kind and loving there are times when i ll be cold and thoughtless and really hard to understand,Positive
i don t think people really understand just how stressful it is to explain what s on your mind  when you don t even understand it yourself ,Negative
 loves you too xx ,Positive
 hey sweetheart  how are you ,Positive
im scared to get close to people because i think they will eventually walk out of my life no matter how close we are because everyone leaves,Negative
 getting there  hope you re doing well ,Positive
 nice to see you in my mentions  hope you re doing okay ,Positive
i think i m afraid to be happy because whenever i get too happy  something bad always happens ,Positive
 Thank you sweetheart ,Positive
 Educate yourself before sending out tweets about social anxiety,Negative
 That statement makes no sense  #socailanxiety is a mental illness which you have no control over  you c  https   t co aQELgyzrXc,Negative
 It s your mental illness that makes you have no ambition  you ve accomplished so much hun just by be  https   t co AOOBfu EMx,Negative
 Love you more                        ,Positive
 Wow so proud of you sweetheart ,Positive
 Yes I do,Positive
 miss you too    ,Negative
 sending hugs your way sweetheart ,Positive
 i don t think i like it  every thing seems so big ,Negative
 yeh good hun  ive got a damn migraine so its back to bed for me  hope you re well ,Positive
 well thats the best update they have done  thanks for letting me know  i thought my eyes were playing tricks,Positive
 me too lol,Positive
  omg  someone thought of me  bless your beautiful soul  hope you re well my friend ,Positive
 I swear you speak my words and thoughts ,Negative
 no its not at all  something needs to change because you ll end having nervous break down,Negative
 you tricked me  i thought it was sparky  ,Negative
 sparky s licking his back again  have you noticed anything  so cute sparky welcomes you home  ,Positive
 geez that sounds extremely confusing,Negative
 you called me a friend     that warmed my heart as you ve become such a supportive and caring frie  https   t co yilNYXCYZT,Positive
 speechless   just wow   and finished with stone cold ,Positive
 goodnight sweetheart   ,Positive
 sorry to here your re struggling   sending love and hugs your way hun   always here to talk dm any time   ,Positive
 the bloody power went out and ive only got     battery life ffs,Negative
 aww bless you hun  ,Positive
 back to watching simply complicated   now i know where  stay strong  comes from,Positive
 fxck your re good lol,Positive
 sometimes i really wonder if that s true ,Positive
 she s not very well know in my country  i also downloaded  stone cold  she s got a great powerful voice ,Positive
 yeah it truly is   ,Positive
 love it  just downloaded it ,Positive
 so nice to see you on my time line ,Positive
 sending hugs your way hun ,Positive
 you re right  but people just don t get and its frustrating,Negative
 fxck i know exactly that feeling gun  I m so sorry you have to go through it too  its like grieving the alive ,Negative
 well my off still stands if you need anything,Positive
 sparky myfavorite family member until I get my   then you ll be equal  love you sparky  oh did you fi  https   t co VrWTSDwVnd,Positive
 omg every second until I have no followers left lol,Positive
 cats too  I would also like to get the cat that has had the worst life before entering the shelter,Negative
 lol all cats are pains but we love them  my heart goes out to the kitten shelter they need the most l  https   t co H jAeAPuYo,Positive
 so true  thinking of getting kitten  tho not sure if I want a pure bred British blue or a kitten from  https   t co PoDoxzWZhl,Negative
 thanks hun at least a simple phone one can lift your spirits,Positive
 trust me I ve smashed a few phones in the last couple of months,Positive
 I wish I could draw and like there s over     colors and sparkles,Positive
 you can do your own fifs I m excited,Positive
 it comes with a pen and you can created your own gifs,Positive
 omg so much better I just love the pen ,Positive
 ily too ,Positive
 Of course you are my friend  you re genuine and you have a beautiful soul               ,Positive
 Thankyou for your kind words ,Positive
 Bless you for your kind words  ,Positive
 Its a pleasure  you re my friend its been   years on twitter,Positive
 Hope you re okay sweetheart ,Positive
 thats good to know I was a little worried ,Positive
 Hope you re okay him ,Positive
 People do care for you ,Positive
 sending you lots of hugs ily    xx,Positive
 still     he shouldn t be mad at you  she came to you in confidence    that s what loyalty is all a  https   t co qcf InhmBJ,Positive
 wow  i m speechless your hair is so on point  you both are absolutely beautiful  ,Positive
 you re not at all selfish  but you must remember to take time out for just you ,Positive
 sorry you re struggling with anxiety today hun ,Negative
 yes we do  i m always here if you need to talk or vent ,Positive
 that s a very true statement hun ,Positive
 i m doing okay  how about you ,Positive
 just reading that gave me the shivers  you re one strong lady hun ,Positive
 that was me today too  its worth it when you get your hands on them lol,Positive
 so happy for you hun  and you re not a psycho just misunderstood just like me ,Positive
 yeah it kinda sucks ,Positive
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
 know the feeling well  being house bound because of my social anxiety   makes my depression worse ,Negative
i already know i m not good enough ,Negative
sleeping is so hard when you can t stop thinking ,Positive
i m not the same anymore  i ll admit it  a lot of shit got to me ,Negative
social anxiety sucks  you unintentionally make yourself sad you feel alone even when you re not and sometimes you dont even know whats wrong,Negative
i say sorry a lot because i secretly feel that everything is my fault ,Negative
it sucks  doesn t it  feeling like you re not good enough  no matter how hard you try ,Negative
depression isn t always sadness  it can also be emptiness  anger  tiredness or loneliness  sometimes a cry for help isn t so visible  ,Negative
do you ever feel physically sick because you know you re not good enough for anyone and can t do anything right  no matter how hard you try ,Negative
i wish someone was afraid to lose me i m always scared of losing people that i love but i doubt anyone would fight to keep me in their life ,Negative
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up  i m just so tired of life,Negative
sometimes i m disappointed in myself  because i know i m better than the choices i make and the things i choose to deal with ,Negative
you can only be so strong for so long until you reach a point where you break physically  mentally  emotional ,Positive
my biggest mistake ever is thinking that people care for me as much as i do for them  but in reality it s almost always one sided ,Positive
i don t tweet for sympathy  or attention i express my thoughts and feelings  this is my outlet where i can say stuff without feeling judged ,Negative
when i die dont go to my grave and sit there telling me how much you love and miss me those are the things i needed to hear when i was alive,Negative
i truly feel like everything i say or do is always wrong  like i m a total disappointment to everyone  and all i ever do is let people down ,Positive
i overthink a lot  i m sensitive and clingy but i really do try my hardest to be good enough so i m sorry if that s not enough ,Positive
do you ever just sit there and realize that you mean nothing to anyone and you start feeling lost  alone  and unloved  and truly unwanted ,Negative
she pretends like nothing happened because she wants people to see her strong only she knows how painful  emotionaly  mentally she really is,Positive
i say sorry a lot because i secretly feel that everything is my fault ,Negative
being sad for no reason is worse than being sad for a reason  because there s absolutely nothing you can do to make yourself feel better ,Negative
i prefer to distance myself whenever im mad because i turn into the most heartless person you ll ever meet and you re going hate me for that,Negative
every single time i put myself back together again  i watch myself fall apart once again and every single time is worse than the time before,Negative
i m sorry for being annoying when i want to talk   needy cause i miss you  emotional when i care and insecure because i m afraid to lose you,Negative
 why are you sad    i don t know   no reason    oh no there are plenty of reasons  i m just not really sure which one it is this time ,Positive
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
she might be laughing but deep inside she s hurting  she s trying to get her mind off things that make her upset by pretending to be fine ,Negative
#GrowingUpWithAnxiety i literally notice the smallest of changes in how people treat me and i overthink into thinking everyone hates me ,Negative
#GrowingUpWithAnxiety you unintentionally make yourself sad you feel alone even when you re not and sometimes you dont even know whats wrong,Negative
#GrowingUpWithAnxiety people thinking you re rude  or always in a bad mood ,Negative
it s easier just to say  i m fine  when somebody asks if you are okay  because sometimes it s not possible to explain why you aren t ,Positive
do you ever just make up scenarios in your head that you know will never happen but it makes you so happy so you just keep on imagining them,Positive
 oh ok  actually means my heart just got ripped into a million pieces but i won t tell you because you wouldn t care how i feel anyway ,Positive
i never really know where i stand in some people s life    one minute they treat me like i m something special  then nothing the next ,Positive
the worst feeling is when you find out you didn t mean as much to someone as you thought you did and you look so stupid for caring too much ,Negative
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
every night i think about all the mistakes i ve made and how much i regret making those decisions because my life could have been different ,Negative
the worst type of crying is at night  when everyone s asleep and you have to control it with your hand over your mouth to not make a sound ,Negative
depression is not a phase it s a disease   it s like screaming   when no one can hear   it s falling apart  without anyone noticing ,Negative
 nah not really  just glad Christmas is over ,Negative
 Yeah I always struggle at this time of year  knowing all my family will be together and there s me w  https   t co TBtnks bQc,Negative
 So sorry to hear that  its good to be around family ,Positive
 Merry Christmas hun  hope you had a wonderful day,Positive
i m ashamed of myself because i know i should be better and i have no idea how to get there ,Negative
  oh  that makes sense  thanks for letting me know ,Positive
 i m already following for the last   amazing years  lol,Positive
 pls explain   ,Positive
    congratulations hope you re proud of your self Lib ,Positive
   You are so sweet  with a beautiful soul  hope you re doing okay  I m  https   t co  o f DXsVT,Positive
  just saw this now  I m doing okay  it s the worst time of year for me  so I m not in  https   t co aBeOGliOD ,Negative
 Hi sweetheart  I ve missed you  ,Positive
 Depression isn t a CHOICE  becaming more educated might help in your thinking,Negative
 oh     okay  yep no worries ,Negative
i m used to it    i m used to being left out   i m used to being forgotten about   i m used to being ignored   i m  https   t co lSbLzYDHBK,Negative
 my pleasure sweetheart  ,Positive
 It s their loss sweetheart  ,Negative
 Everything is difficult when you re in a dark depression  be kind to yourself ,Negative
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up   https   t co  fZigKxu N,Negative
 how fxcking rude  ,Negative
i am constantly torn between wanting to fix myself and wanting to destroy myself ,Negative
 yep me too  that s why I don t tweet much any more ,Positive
 Those how ever are good for your health  They don t  cure  mental illnesses ,Positive
i m sick of making things worse  i m sick of being hurt i m sick of crying myself to sleep i m sick of hating every  https   t co nYOQp pndG,Negative
 yes I agree with all of them ,Positive
Living with depression and anxiety    no motivation to leave your      bed    dreading leaving your house   not bei  https   t co lHiUVNL Ue,Negative
  You re so beautiful   ,Positive
 So sorry that happened to you  I have a name for thise kind of people ,Negative
Sorry for being so fucked up  Sorry for being such a failure  Sorry for being a disgrace  Sorry for being me ,Negative
do you ever write a really long message and about halfway through you re like  you know what  they don t even care  and end up deleting it ,Negative
 you re truly not worthless  you re bound to feel this way when you re deep in depression  have you change your meds ,Positive
 because when you re severely depressed even something as taking a shower because that seems to much  https   t co yOsjJZpj c,Negative
 at times it feels it s never going to ease up ,Negative
 Beautiful,Positive
you hide when you cry because you want to be seen as a strong person  at the same time though  you hate how nobody  https   t co  rR X U ex,Negative
 I m sorry to know you re struggling I m here if you ever want to talk,Negative
 Yes exactly ,Positive
Someone without depression    spills a glass of milk   thought   no big deal i ll just clean it up   someone with d  https   t co  eSn Ea ur,Positive
 thats just what we do the old twitter you d have    s backing you but twitters not the same anymore,Positive
 yeah they all came for me like a bunch of dogs because I called out an account that making jokes about ed,Positive
 you missed the tweet storm i was in with a bunch off haters no one was around to have my back it was the  https   t co do  sEg Ds,Negative
 thank you I m blessed by your kind words,Positive
 I need it  in reality probably the next    minute lol,Positive
 Well you did insult my page,Negative
 People tend to pick on the weak so that think ,Negative
 Miss are chats  hope you re doing okay sweetheart ,Positive
 miss and love you too ,Positive
 love you to the stars and back ,Positive
Depression is not cured by    Just cheer up   Anxiety is not cured by   Just calm down    please stop giving bad an  https   t co eVJNo  nBI,Negative
so sick of going through the same shit over and over again ,Negative
 Hey sweetheart what s a good time to give you a ring Aus time,Positive
 You re such a good friend and always there for others  Some people take kindness as weakness ,Positive
 Omg   That is so fantastic congratulations sweetheart its one day at a time  So proud of you ,Positive
  This is what happens when you re bored outa your brain lol,Positive
  Haha i wish i were twitter famous   it s an app called fake tweets,Positive
 Yep been there before ,Positive
please don t expect me to always be good and kind and loving there are times when i ll be cold and thoughtless and really hard to understand,Positive
i don t think people really understand just how stressful it is to explain what s on your mind  when you don t even understand it yourself ,Negative
 loves you too xx ,Positive
 hey sweetheart  how are you ,Positive
im scared to get close to people because i think they will eventually walk out of my life no matter how close we are because everyone leaves,Negative
 getting there  hope you re doing well ,Positive
 nice to see you in my mentions  hope you re doing okay ,Positive
i think i m afraid to be happy because whenever i get too happy  something bad always happens ,Positive
 Thank you sweetheart ,Positive
 Educate yourself before sending out tweets about social anxiety,Negative
 That statement makes no sense  #socailanxiety is a mental illness which you have no control over  you c  https   t co aQELgyzrXc,Negative
 It s your mental illness that makes you have no ambition  you ve accomplished so much hun just by be  https   t co AOOBfu EMx,Negative
 Love you more                        ,Positive
 Wow so proud of you sweetheart ,Positive
 Yes I do,Positive
 miss you too    ,Negative
 sending hugs your way sweetheart ,Positive
 i don t think i like it  every thing seems so big ,Negative
 yeh good hun  ive got a damn migraine so its back to bed for me  hope you re well ,Positive
 well thats the best update they have done  thanks for letting me know  i thought my eyes were playing tricks,Positive
 me too lol,Positive
  omg  someone thought of me  bless your beautiful soul  hope you re well my friend ,Positive
 I swear you speak my words and thoughts ,Negative
 no its not at all  something needs to change because you ll end having nervous break down,Negative
 you tricked me  i thought it was sparky  ,Negative
 sparky s licking his back again  have you noticed anything  so cute sparky welcomes you home  ,Positive
 geez that sounds extremely confusing,Negative
 you called me a friend     that warmed my heart as you ve become such a supportive and caring frie  https   t co yilNYXCYZT,Positive
 speechless   just wow   and finished with stone cold ,Positive
 goodnight sweetheart   ,Positive
 sorry to here your re struggling   sending love and hugs your way hun   always here to talk dm any time   ,Positive
 the bloody power went out and ive only got     battery life ffs,Negative
 aww bless you hun  ,Positive
 back to watching simply complicated   now i know where  stay strong  comes from,Positive
 fxck your re good lol,Positive
 sometimes i really wonder if that s true ,Positive
 she s not very well know in my country  i also downloaded  stone cold  she s got a great powerful voice ,Positive
 yeah it truly is   ,Positive
 love it  just downloaded it ,Positive
 so nice to see you on my time line ,Positive
 sending hugs your way hun ,Positive
 you re right  but people just don t get and its frustrating,Negative
 fxck i know exactly that feeling gun  I m so sorry you have to go through it too  its like grieving the alive ,Negative
 well my off still stands if you need anything,Positive
 sparky myfavorite family member until I get my   then you ll be equal  love you sparky  oh did you fi  https   t co VrWTSDwVnd,Positive
 omg every second until I have no followers left lol,Positive
 cats too  I would also like to get the cat that has had the worst life before entering the shelter,Negative
 lol all cats are pains but we love them  my heart goes out to the kitten shelter they need the most l  https   t co H jAeAPuYo,Positive
 so true  thinking of getting kitten  tho not sure if I want a pure bred British blue or a kitten from  https   t co PoDoxzWZhl,Negative
 thanks hun at least a simple phone one can lift your spirits,Positive
 trust me I ve smashed a few phones in the last couple of months,Positive
 I wish I could draw and like there s over     colors and sparkles,Positive
 you can do your own fifs I m excited,Positive
 it comes with a pen and you can created your own gifs,Positive
 omg so much better I just love the pen ,Positive
 ily too ,Positive
 Of course you are my friend  you re genuine and you have a beautiful soul               ,Positive
 Thankyou for your kind words ,Positive
 Bless you for your kind words  ,Positive
 Its a pleasure  you re my friend its been   years on twitter,Positive
 Hope you re okay sweetheart ,Positive
 thats good to know I was a little worried ,Positive
 Hope you re okay him ,Positive
 People do care for you ,Positive
 sending you lots of hugs ily    xx,Positive
 still     he shouldn t be mad at you  she came to you in confidence    that s what loyalty is all a  https   t co qcf InhmBJ,Positive
 wow  i m speechless your hair is so on point  you both are absolutely beautiful  ,Positive
 you re not at all selfish  but you must remember to take time out for just you ,Positive
 sorry you re struggling with anxiety today hun ,Negative
 yes we do  i m always here if you need to talk or vent ,Positive
 that s a very true statement hun ,Positive
 i m doing okay  how about you ,Positive
 just reading that gave me the shivers  you re one strong lady hun ,Positive
 that was me today too  its worth it when you get your hands on them lol,Positive
 so happy for you hun  and you re not a psycho just misunderstood just like me ,Positive
 yeah it kinda sucks ,Positive
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
 know the feeling well  being house bound because of my social anxiety   makes my depression worse ,Negative
i already know i m not good enough ,Negative
sleeping is so hard when you can t stop thinking ,Positive
i m not the same anymore  i ll admit it  a lot of shit got to me ,Negative
social anxiety sucks  you unintentionally make yourself sad you feel alone even when you re not and sometimes you dont even know whats wrong,Negative
i say sorry a lot because i secretly feel that everything is my fault ,Negative
it sucks  doesn t it  feeling like you re not good enough  no matter how hard you try ,Negative
depression isn t always sadness  it can also be emptiness  anger  tiredness or loneliness  sometimes a cry for help isn t so visible  ,Negative
do you ever feel physically sick because you know you re not good enough for anyone and can t do anything right  no matter how hard you try ,Negative
i wish someone was afraid to lose me i m always scared of losing people that i love but i doubt anyone would fight to keep me in their life ,Negative
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up  i m just so tired of life,Negative
sometimes i m disappointed in myself  because i know i m better than the choices i make and the things i choose to deal with ,Negative
you can only be so strong for so long until you reach a point where you break physically  mentally  emotional ,Positive
my biggest mistake ever is thinking that people care for me as much as i do for them  but in reality it s almost always one sided ,Positive
i don t tweet for sympathy  or attention i express my thoughts and feelings  this is my outlet where i can say stuff without feeling judged ,Negative
when i die dont go to my grave and sit there telling me how much you love and miss me those are the things i needed to hear when i was alive,Negative
i truly feel like everything i say or do is always wrong  like i m a total disappointment to everyone  and all i ever do is let people down ,Positive
i overthink a lot  i m sensitive and clingy but i really do try my hardest to be good enough so i m sorry if that s not enough ,Positive
do you ever just sit there and realize that you mean nothing to anyone and you start feeling lost  alone  and unloved  and truly unwanted ,Negative
she pretends like nothing happened because she wants people to see her strong only she knows how painful  emotionaly  mentally she really is,Positive
i say sorry a lot because i secretly feel that everything is my fault ,Negative
being sad for no reason is worse than being sad for a reason  because there s absolutely nothing you can do to make yourself feel better ,Negative
i prefer to distance myself whenever im mad because i turn into the most heartless person you ll ever meet and you re going hate me for that,Negative
every single time i put myself back together again  i watch myself fall apart once again and every single time is worse than the time before,Negative
i m sorry for being annoying when i want to talk   needy cause i miss you  emotional when i care and insecure because i m afraid to lose you,Negative
 why are you sad    i don t know   no reason    oh no there are plenty of reasons  i m just not really sure which one it is this time ,Positive
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
she might be laughing but deep inside she s hurting  she s trying to get her mind off things that make her upset by pretending to be fine ,Negative
#GrowingUpWithAnxiety i literally notice the smallest of changes in how people treat me and i overthink into thinking everyone hates me ,Negative
#GrowingUpWithAnxiety you unintentionally make yourself sad you feel alone even when you re not and sometimes you dont even know whats wrong,Negative
#GrowingUpWithAnxiety people thinking you re rude  or always in a bad mood ,Negative
it s easier just to say  i m fine  when somebody asks if you are okay  because sometimes it s not possible to explain why you aren t ,Positive
do you ever just make up scenarios in your head that you know will never happen but it makes you so happy so you just keep on imagining them,Positive
 oh ok  actually means my heart just got ripped into a million pieces but i won t tell you because you wouldn t care how i feel anyway ,Positive
i never really know where i stand in some people s life    one minute they treat me like i m something special  then nothing the next ,Positive
the worst feeling is when you find out you didn t mean as much to someone as you thought you did and you look so stupid for caring too much ,Negative
do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,Negative
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
every night i think about all the mistakes i ve made and how much i regret making those decisions because my life could have been different ,Negative
the worst type of crying is at night  when everyone s asleep and you have to control it with your hand over your mouth to not make a sound ,Negative
sometimes it s better to keep silent than to tell others how you feel because it hurts knowing they can hear you  but not understand you ,Negative
i hate getting flashbacks from things you don t want to remember  it feels like your heart suddenly drops and anxiety starts taking you over,Negative
i truly feel like everything i say or do is always wrong  like i m a total disappointment to everyone  and all i ever do is let people down ,Positive
i m sorry i have trust issues  but when you give someone everything and they toss it away like nothing  something inside of you breaks ,Positive
do you ever feel physically sick because you know you re not good enough for anyone and can t do anything right  no matter how hard you try ,Negative
i need someone who will understand how unstable i am  sometimes being alone can be dangerous for me but other times its exactly what i need ,Negative
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up  i m just so tired of life,Negative
my only relief is to sleep  when i m sleeping  i m not sad  i m not angry  i m not scared  i m not hurting  i m not lonely  i m just nothing,Positive
i m disappointed in myself   because i know i m better than the choices i keep making and the things i choose to deal with ,Negative
i hate this feeling like i m here  but i m not like someone cares but they don t  it s like i belong somewhere anywhere but here ,Positive
have you ever wanted to cry but no tears came out so you just stare blankly into space while feeling your heart breaks into a million pieces,Negative
i feel myself changing  i don t laugh the same anymore  i don t smile the same  or talk the same  i m just so tired and mentally exhausted ,Negative
i think i m afraid to be happy because whenever i get too happy  something bad always happens ,Positive
nothing hurts more then being ignored  replaced  forgotten  lied to ,Negative
i prefer to distance myself whenever im mad because i turn into the most heartless person you ll ever meet and you re going hate me for that,Negative
you think you re doing okay and then suddenly it s a nighttime and you re alone and you re not really sure how to distract yourself anymore ,Negative
social anxiety sucks  you unintentionally make yourself sad you feel alone even when you re not and sometimes you dont even know whats wrong,Negative
all the things i did wrong      i relied on someone for my happiness     i love people more than i love myself     i never asked for help ,Positive
we hide behind a fake smile to mask the pain but sometimes we wish someone would look closely enough and see how broken we really are inside,Negative
typing  haha  when you can t even smile  acting like you re happy when all you want to do is cry  tell everyone you re okay when you re  not,Positive
i m sorry for being annoying when i want to talk   needy cause i miss you  emotional when i care and insecure because i m afraid to lose you,Negative
do you ever feel the need to ask someone if they actually still want you in their life because it always feels like they don t really care ,Positive
she took a deep breath and closed her eyes  wanting to scream out so loud but with all the strength she had  she kept everything inside ,Positive
you smile  but all you want is to cry  you talk  but you really just want to be quiet  you pretend like you re happy  but you really aren t ,Positive
that worthless feeling where you should just lock yourself in a dark room  because everything you do or say just seems to piss people off ,Negative
she s scared to get to close to anyone anymore  because everyone who promised her they would stay  turned their back on her and walked away ,Negative
have you ever been in one of those moods where you don t really know whats wrong but you feel really irritated with everyone and everything,Negative
do you ever write a really long message and about halfway through you re like  you know what  they don t even care  and end up deleting it ,Negative
i m scared to get close to people because i think they will eventually walk out of my life no matter how close we are because they always do,Negative
have you ever wanted to cry but no tears came out so you just stare blankly into space while feeling your heart breaks into a million pieces,Negative
she s hurts  mentally and emotionally  but everyday  she walks with a smile  because that s who she is  the girl who never stopped smiling ,Negative
when i m hurt  i shut down  i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it,Negative
so many people in this world have trust issues because people say  i m here for you  and then run away as soon as things start to fall apart,Positive
just because her eyes don t tear up  doesn t mean her heart doesn t cry and just because she comes off strong doesn t mean nothing is wrong ,Positive
hate getting flashbacks from things you don t want to remember  it feels like your heart suddenly drops and anxiety starts taking over  ou ,Negative
when i cry about one thing i end up crying about everything that s messed up in my life ,Negative
it really sucks wanting to talk to someone but you really don t want to annoy anyone because they seem totally fine without you    ,Positive
everything is changing and i don t know where i fit anymore ,Negative
they say  it will get better  but its a lie    it doesnt get better  you just get used to it ,Positive
it s painful to say goodbye to someone you don t want to let go  but more painful to ask someone to stay when you know they want to leave ,Negative
i hate the fact that i cry when i m angry and that s the worst thing ever  because you re trying to act tough and mean but instead you cry ,Negative
the worst sadness is the sadness you ve taught yourself to hide ,Negative
every night i convince myself tomorrow will be different  but it never is ,Positive
my biggest problem is overthinking everything ,Negative
you smile  but you want to cry  you talk but you just want to be quiet  and you pretend that you  re happy  but you aren t ,Positive
i m the type of person that one thing can change my mood completely and i can go from confident to insecure in a matter of seconds ,Positive
i m a paradox  neither happy or sad  i smile at pretty things  amp  laugh at funny things  but at night i become a mess of emotions and thoughts,Positive
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up  i m just so tired of life,Negative
Have you ever just randomly started crying because you ve been holding in all of these emotions and pretending to be happy for way too long ,Positive
it hurts so much when you can feel yourself becoming less and less important to the one person who truly means the most to you ,Positive
she might be laughing but deep inside she s hurting  she s trying to get her mind off things that make her upset by pretending to be fine ,Negative
physically  mentally  emotionally tired ,Negative
just because her eyes don t tear up  doesn t mean her heart doesn t cry and just because she comes off strong doesn t mean nothing is wrong ,Positive
Its sad nobody ever knows how much someone is actually hurting    Someone right next to you could be completely broken and you wouldn t know,Negative
you re so afraid to tell people how you feel because you fear rejection  so you bury it deep inside yourself where it only destroys you more,Negative
my problem is that i start depending on people for my happiness  and when they leave like they always do  they take my happiness with them ,Positive
every night i think about all the mistakes i ve made and how much i regret making those decisions because my life could have been different ,Negative
how painful is it to say  i m fine  to the person who s the reason you re broken ,Negative
she pretends like nothing happened because she wants people to see her strong only she knows how painful  emotionaly  mentally she really is,Positive
i think i m afraid to be happy because whenever i get too happy  something bad always happens ,Positive
i m just so tired of this  my body is tired  my mind is a mess  i just really want to lay in bed and never get up  i m just so tired of life,Negative
one minute everything is okay and the next i have no idea what s going on,Negative
the worst feeling is feeling unwanted by the person you needed the most ,Negative
i hate getting so sad to the point where my body completely shuts down  and all i can do is just lay there and think about all my problems ,Negative
it really hurts when someone is not in the mood to talk to you  but when it comes to someone else  they act like the happiest person alive ,Positive
the worst type of crying is at night  when everyone s asleep and you have to control it with your hand over your mouth to not make a sound ,Negative
it s scary that you never really know what someone is thinking or feeling towards you and everything that they say could be one massive lie ,Negative
all i ever wanted is for someone to not give up on me  no matter how much i screw up and no matter how much i push them away they will stay ,Negative
